tweet_body,states_id,hand_topic_id
"RT @KayQuirk1: @whoradio @SenMarkChelgren is spot on. Conservatives support a level playing field. Ted Cruz opposes all subsidies.",16,9
"Feature photo in @OWHnews with my legislative aide Kaitlin Reece https://t.co/sAqKyJQoWn #neleg Session begins tomorrow.",16,9
"#tbt #iasen #IA02 https://t.co/SjFeRIy2uB",16,15
"Today in the #neleg https://t.co/E8TXyVbMto",16,15
"RT @iowanpolitics: The shameful &amp; fraudulent Cruz mailers have been widely condemned by Iowans. https://t.co/enApSKx9ZI #iacaucus",16,2
"Proud to introduce LB753 today to protect jobs for National Guard members #neleg https://t.co/yE7GqS4Oi7",16,2
"@iowaspeedway Leaving Garage, first car on track 2016 https://t.co/AqKlFSTcIn",16,1
"Today I introduced a bill in the #neleg to create the Adult Career Pathways Task Force so we can better connect workers with in-demand jobs",16,1
"Vote Morgan Allen! https://t.co/9BwdUbJzfT",16,10
"Great story @OWHnews on LB754, my bill to safeguard military assets in #NE and serve military families https://t.co/zAg7FvjGB0 #neleg",16,10
"What we say matters.",16,8
"Today in the #neleg https://t.co/ZFktkQSZZC",16,8
"How I felt when I woke up last Wednesday! https://t.co/B8Fq1knckM",16,2
"My weekly #neleg update is now available https://t.co/dakPq65trO",16,2
"#chromehorn https://t.co/2T2MrkFm3s",16,15
"My weekly #neleg update is now available https://t.co/CUUnRVoWiz",16,15
"Merry https://t.co/XKoPmxcaIZ",16,19
"This week in the #neleg Urban Affairs Committee https://t.co/pCzEGpsdHa",16,19
"Week 1 is done in the @IowaSenate. MLK Day on Monday, then back at it 10AM on Tuesday. Have a great weekend and stay safe w/ icy weather",16,6
"Today in the #neleg https://t.co/8DPYLPzxSt",16,6
"Tru dat! https://t.co/N2yj7X4zHu",16,1
"Today in the #neleg https://t.co/TO3zg8a3pv",16,1
"Pretty cool pics from #Rolex24 https://t.co/AIXU0HB73R",16,6
"Today in the #neleg #dist45 https://t.co/dv2RAuCYZl",16,6
"Still at it! @IowaSenate https://t.co/xjFistawZi",16,5
"Thanks @BellevueNEChmbr leaders for visiting us today. Thanks also to my colleagues who spoke to the group #neleg https://t.co/AMf2OVruBr",16,5
"Watching a Gladiator for Women &amp; Workers Rights! @janet4iowa @IowaSenate https://t.co/CovdiyR9SL",16,5
"Today in the #neleg #dist45 https://t.co/KY8168EVWa",16,5
"Good Stuff! https://t.co/XZEuqoCroF",16,20
"Today in the #neleg https://t.co/QdTAKKIeRL",16,20
"@ronmparker29 https://t.co/isZDXj8LiH",16,1
"My latest #neleg newsletter is now available https://t.co/uCjXWbdfzK #dist45",16,1
"@NateBoulton Speaking Brilliantly on Work Comp.@IowaSenate #ialegis https://t.co/ZFk03zlQAO",16,20
"Nebraska Department of Roads informational meeting #dist45 https://t.co/TJa3fjA362",16,20
"Democrats Caucus! @IaLegis @IowaSenate https://t.co/JnesnEI62e",16,20
"This week in #neleg Urban Affairs Committee https://t.co/accpF2u6XK",16,20
"Democrats out of Caucus! #ialegis @IowaSenate https://t.co/ViQDkIJepb",16,20
"My latest #neleg newsletter is now available https://t.co/HaE7fbGsdB #dist45",16,20
"Republicans took down their own Amendment! #ialegis @iowasenate https://t.co/S4NRPzJKC6",16,5
